mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_data_prep__category_pipe__data_missing__strategy,param_data_prep__category_pipe__features_select,param_data_prep__numeric_pipe__data_missing__strategy,param_data_prep__numeric_pipe__features_select,param_model,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.12387094497680665,0.0053352066695153185,0.11489439010620117,0.012775287243218834,most_frequent,passthrough,mean,passthrough,DecisionTreeClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': DecisionTreeClassifier()}",1.0,0.9642857142857143,0.9642857142857143,1.0,0.9821428571428571,0.9821428571428571,0.01597191412499849,9,1.0,0.9500000000000001,0.9545454545454545,1.0,0.9767441860465117,0.9762579281183934,0.02139401177414694,14,1.0,1.0,0.9130434782608695,1.0,0.9545454545454546,0.9735177865612649,0.03498861023925808,5,1.0,0.9047619047619048,1.0,1.0,1.0,0.980952380952381,0.03809523809523809,18
0.344679069519043,0.01939632881904525,0.10891084671020508,0.003477699373485332,most_frequent,passthrough,mean,passthrough,RandomForestClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': RandomForestClassifier()}",1.0,0.9821428571428571,1.0,1.0,1.0,0.9964285714285716,0.007142857142857162,1,1.0,0.975609756097561,1.0,1.0,1.0,0.9951219512195122,0.009756097560975618,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9523809523809523,1.0,1.0,1.0,0.9904761904761905,0.019047619047619067,16
0.7717438220977784,0.00770876814863551,0.24095497131347657,0.011084949901318879,most_frequent,passthrough,iterative,passthrough,SGDClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SGDClassifier()}",0.9464285714285714,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,0.9333333333333333,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9727131782945737,0.021652204961359493,15,0.875,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9477272727272726,0.04040088371507086,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.7609695434570313,0.02503377715168623,0.24953432083129884,0.016440593931193858,most_frequent,passthrough,iterative,passthrough,LogisticRegression(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LogisticRegression()}",0.9464285714285714,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.0195615199108988,9,0.9333333333333333,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9773643410852714,0.024348490455070478,9,0.875,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9568181818181818,0.04568125282327677,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.7641612529754639,0.03354091874739006,0.2509324550628662,0.01010165919517781,most_frequent,passthrough,iterative,passthrough,LinearSVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LinearSVC()}",0.9464285714285714,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.0195615199108988,9,0.9333333333333333,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9773643410852714,0.024348490455070478,9,0.875,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9568181818181818,0.04568125282327677,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.7531896591186523,0.01801179033865738,0.24354958534240723,0.015571218756616137,most_frequent,passthrough,iterative,passthrough,SVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SVC()}",0.9464285714285714,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,0.9333333333333333,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9727131782945737,0.021652204961359493,15,0.875,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9477272727272726,0.04040088371507086,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.780717134475708,0.014798686198158016,0.24714088439941406,0.010543112796227584,most_frequent,passthrough,iterative,passthrough,DecisionTreeClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': DecisionTreeClassifier()}",0.9642857142857143,1.0,0.9464285714285714,0.9821428571428571,0.9642857142857143,0.9714285714285713,0.01821078397711709,22,0.9523809523809523,1.0,0.9333333333333333,0.9767441860465117,0.9523809523809523,0.9629678848283498,0.02308045471364111,22,0.9523809523809523,1.0,0.875,0.9545454545454546,0.9523809523809523,0.9468614718614718,0.04026846714520893,23,0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.980952380952381,0.023328473740792197,18
1.0276610851287842,0.05347116500450279,0.29161977767944336,0.019301226013985536,most_frequent,passthrough,iterative,passthrough,RandomForestClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'iterative', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': RandomForestClassifier()}",0.9821428571428571,0.9821428571428571,1.0,1.0,1.0,0.9928571428571429,0.008748177652797088,3,0.9767441860465117,0.975609756097561,1.0,1.0,1.0,0.9904707884288145,0.011676365140039524,3,0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,3,1.0,0.9523809523809523,1.0,1.0,1.0,0.9904761904761905,0.019047619047619067,16
0.12367038726806641,0.006764578335550548,0.10511932373046876,0.004990308308014333,most_frequent,passthrough,knn,passthrough,SGDClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'knn', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SGDClassifier()}",1.0,0.9821428571428571,1.0,0.9642857142857143,1.0,0.9892857142857142,0.014285714285714285,5,1.0,0.9767441860465117,1.0,0.9545454545454545,1.0,0.9862579281183933,0.01823582127090727,5,1.0,0.9545454545454546,1.0,0.9130434782608695,1.0,0.9735177865612649,0.03498861023925808,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13444128036499023,0.005725584198998313,0.10372333526611328,0.0010940601615280073,most_frequent,passthrough,knn,passthrough,LogisticRegression(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'knn', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LogisticRegression()}",0.9464285714285714,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.0195615199108988,9,0.9333333333333333,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9773643410852714,0.024348490455070478,9,0.875,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9568181818181818,0.04568125282327677,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13424215316772461,0.008068400169410165,0.10811095237731934,0.004485470927974154,most_frequent,passthrough,knn,passthrough,LinearSVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'knn', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LinearSVC()}",0.9464285714285714,1.0,1.0,0.9821428571428571,1.0,0.9857142857142858,0.020824828195876086,6,0.9333333333333333,1.0,1.0,0.9767441860465117,1.0,0.982015503875969,0.02595406258336939,6,0.875,1.0,1.0,0.9545454545454546,1.0,0.965909090909091,0.048744569521652764,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13862986564636232,0.008693794059367682,0.1174856185913086,0.0080386406657283,most_frequent,passthrough,knn,passthrough,SVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'knn', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SVC()}",0.9464285714285714,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,0.9333333333333333,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9727131782945737,0.021652204961359493,15,0.875,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9477272727272726,0.04040088371507086,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13743386268615723,0.0053313500816273025,0.11030464172363282,0.005410703254447625,most_frequent,passthrough,knn,passthrough,DecisionTreeClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'knn', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': DecisionTreeClassifier()}",0.9464285714285714,0.9464285714285714,1.0,0.9642857142857143,0.9821428571428571,0.9678571428571429,0.02082482819587608,23,0.9333333333333333,0.9268292682926829,1.0,0.9545454545454545,0.975609756097561,0.9580635624538065,0.02707794731067858,23,0.875,0.95,1.0,0.9130434782608695,1.0,0.9476086956521741,0.048912560384087776,22,1.0,0.9047619047619048,1.0,1.0,0.9523809523809523,0.9714285714285713,0.0380952380952381,24
